CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,location
3512046,Marmora and Lake,6,1800,"44.4869907,-77.6756531",2.5,1,0,0,0,1500,1,4303,"44.48072361, -77.67733231"
3512061,Bancroft,2,2750,"45.0558574,-77.8548814",3.5,2.5,1,1,1,2000,2,4147,"45.0555315, -77.84916191"
3513020,Prince Edward County,1,1650,"44.1420389,-77.3857241",2,1,1,1,1,1136.65079,1,26816,"44.00956055, -77.14004779"
3514004,Brighton,6,1200,"44.0616872,-77.7680952",1,1,1,1,1,1200,1,13009,"44.04358743, -77.72759309"
3514020,Port Hope,1,1830,"43.9644445,-78.2889673",2,1,0,0,1,750,1,17647,"43.96081849, -78.27960676"
3514021,Cobourg,1,1900,"43.9717624,-78.1708632",2,1,0,0,0,700,1,21077,"43.95651529, -78.17033082"
3514045,Trent Hills,1,1195,"44.3135784,-77.7913919",1,1,1,1,1,650,1,13482,"44.28480207, -77.84842135"
3515003,Asphodel-Norwood,1,1500,"44.382419,-77.979918",1,1,0,0,1,800,1,4950,"44.37701618, -77.97470459"
3515013,Cavan Monaghan,2,1000,"44.19967,-78.468722",3,2,1,1,1,1500,1,10310,"44.1562909, -78.4477515"
3515014,Peterborough,2,3400,"44.3478833,-78.3172492",4,3,0,0,0,2500,1,87552,"44.31951895, -78.3207549"
3515015,Selwyn,2,5000,"44.5309302,-78.2259376",5,5,0,0,1,6000,1,18122,"44.42419477, -78.2815351"
3516010,Kawartha Lakes,2,2200,"44.5674266,-78.6747023",3,1,1,1,1,1200,1,83355,"44.34636004, -78.74439154"
3518001,Pickering,5,3000,"43.8827519,-79.0853355",3,2.5,0,0,0,1438,1,105407,"43.79773372, -79.11423721"
3518005,Ajax,5,2775,"43.9001505,-79.0090548",3,3,0,0,0,1300,1,135180,"43.84539974, -79.02089259"
3518009,Whitby,5,3100,"43.9734382,-78.9485346",4,3.5,0,0,0,2200,1,149907,"43.90290315, -78.94221856"
3518013,Oshawa,2,3500,"44.0016728,-78.9175088",4.5,4,0,0,0,3500,1,187813,"43.88944965, -78.87895794"
3518017,Clarington,1,1699,"43.940824,-78.7047707",1,1,1,1,1,800,1,107394,"43.91037416, -78.68822688"
3518020,Scugog,2,3500,"44.1788583,-78.8027805",3,1,1,1,1,1136.65079,1,22831,"44.104888, -78.954839"
3518029,Uxbridge,6,1600,"44.1847144,-79.2563916",2,1,0,0,1,1200,1,23005,"44.10422028, -79.13997995"
3518039,Brock,1,1800,"44.4360074,-79.1435645",2,1,0,1,1,650,1,13890,"44.4268626, -79.1419982"
3519028,Vaughan,5,3200,"43.8949598,-79.4699801",3,2.5,0,0,0,1675,1,338891,"43.79438891, -79.43905361"
3519036,Markham,5,3500,"43.9086398,-79.2574487",3,2.5,0,0,0,1500,1,352404,"43.85908432, -79.31460658"
3519038,Richmond Hill,4,2500,"43.9664629,-79.4397976",1.5,1,1,1,1,572,1,211494,"43.89785833, -79.41245401"
3519044,Whitchurch-Stouffville,3,1700,"43.9832646,-79.2414615",2,1,1,1,1,1100,1,52546,"44.00278365, -79.26290138"
3519046,Aurora,2,3488,"44.0284713,-79.4377159",4,4,0,0,0,2500,1,64991,"43.9873434, -79.4613733"
3519048,Newmarket,3,1100,"44.0750602,-79.4473583",0.5,1,0,0,0,400,2,91481,"44.05368825, -79.45268034"
3519049,King,2,1800,"44.1184352,-79.5260357",2,1,1,1,1,650,1,27499,"43.97147063, -79.55151987"
3519054,East Gwillimbury,2,3000,"44.1310294,-79.5059113",4,2,0,0,0,1800,1,35615,"44.13128166, -79.48019546"
3519070,Georgina,2,2000,"44.314686,-79.202733",3,1.5,0,0,1,1200,1,49323,"44.232338, -79.456847"
3520005,Toronto,2,2800,"43.69486211,-79.5248296",3,3,1,1,1,2300,1,3025647,"43.7628942, -79.45410882"
3521005,Mississauga,3,1450,"43.7348576,-79.6405612",1,1,0,0,0,980,1,771891,"43.56089946, -79.58102284"
3521010,Brampton,3,900,"43.7949142,-79.7459461",1,1,1,1,1,1000,1,745557,"43.67006457, -79.7398157"
3521024,Caledon,2,2350,"43.9407841,-79.7741109",2,1,1,1,1,1400,1,81903,"43.87985701, -79.73758312"
3522014,Orangeville,1,2100,"43.9246842,-80.0919032",2,1,0,0,1,900,1,31009,"43.9123152, -80.10782484"
3522021,Shelburne,2,2800,"44.0843952,-80.2112611",4,2.5,0,0,0,1500,1,10212,"44.07608582, -80.19971428"
3523001,Puslinch,3,1650,"43.4900953,-80.2610563",1,1,1,1,1,1200,1,7634,"43.474055, -80.151062"
3523008,Guelph,3,1950,"43.584639,-80.2593131",2,1,0,1,1,852,1,149942,"43.54541173, -80.24641475"
3523009,Guelph/Eramosa,2,7000,"43.6134685,-80.1495813",3.5,2,0,0,0,4400,1,15302,"43.58078794, -80.16785633"
3523017,Erin,2,3500,"43.7113002,-80.0143656",3,3,0,0,0,1700,1,12044,"43.76862927, -80.06141961"
3523025,Centre Wellington,2,2700,"43.70209021,-80.36381768",3,2,0,0,0,1000,1,32089,"43.70904655, -80.3698587"
3523033,Mapleton,1,2300,"43.7550646,-80.6713535",2,2,0,0,0,1100,2,11965,"43.6997553, -80.872622"
3523043,Minto,1,1295,"43.8572672,-80.7879407",1,1,0,0,1,600,1,9652,"43.91461596, -80.87806388"
3523050,Wellington North,1,1505,"43.9851072,-80.733005",2,1,0,1,1,717,1,12830,"43.98529868, -80.73344194"
3524001,Oakville,4,2450,"43.521911,-79.7159848",1.5,1,1,1,1,900,1,224781,"43.40795623, -79.72589097"
3524002,Burlington,2,3750,"43.4202505,-79.9420046",1.5,1,0,0,0,3840,1,194175,"43.36821872, -79.75569998"
3524009,Milton,3,1500,"43.5744564,-80.0552747",1.5,1,1,1,1,900,1,142279,"43.51655054, -79.87240973"
3524015,Halton Hills,2,2600,"43.6574326,-80.0227514",3,1,0,0,0,1500,1,65965,"43.64477486, -79.93394806"
3525005,Hamilton,2,2000,"43.22062808,-79.83584078",3,1,0,0,0,1000,1,597010,"43.25164109, -79.89294681"
3526003,Fort Erie,2,2845,"42.9756754,-79.0248412",4,2,0,0,0,1100,1,33459,"42.90986347, -78.91451317"
3526011,Port Colborne,1,1650,"42.8999334,-79.2551582",2,1,0,1,1,700,1,19035,"42.8797041, -79.2586964"
3526021,West Lincoln,1,1800,"43.1407465,-79.6109049",2,1,1,1,1,2000,1,16458,"43.09567428, -79.54853809"
3526028,Pelham,3,1300,"43.0514979,-79.2831681",0.5,1,0,1,1,900,1,18275,"43.04374608, -79.30042241"
3526032,Welland,2,2800,"43.0230497,-79.2190986",3,3,0,0,0,1136.65079,1,58491,"42.99376778, -79.23185768"
3526037,Thorold,1,1495,"43.1266234,-79.1976479",2,1,1,1,1,1136.65079,1,24814,"43.1110871, -79.23930319"
3526043,Niagara Falls,1,1950,"43.137763,-79.0877624",2,1,0,0,1,1136.65079,1,99007,"43.05084229, -79.04543772"
3526047,Niagara-on-the-Lake,1,2150,"43.2453858,-79.0940553",2,2,0,0,1,1136.65079,1,18981,"43.22611312, -79.09861726"
3526053,St. Catharines,2,2395,"43.2220022,-79.2125108",2,2,0,0,0,1150,1,144829,"43.18351721, -79.26633031"
3526057,Lincoln,5,2785,"43.183595,-79.4710916",3,3,0,0,0,1600,1,25945,"43.15187669, -79.47659767"
3526065,Grimsby,5,2599,"43.2163619,-79.612309",3.5,2,0,0,0,1420,1,29851,"43.1895365, -79.54142639"
